Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN, Baseline number ,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered, Net emissions number ,MYMP net emissions number,MYMP baseline number,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
GEM01,NT,GROOTE EYLANDT MINING COMPANY PROPRIETARY LIMITED,26 004 618 491," 201,843 ",Production-adjusted baseline," 196,713 ",0,0,0," 196,713 ",n/a,n/a,-,-,-
Gibson Island,QLD,INCITEC PIVOT LIMITED,42 004 080 264," 353,220 ",Production-adjusted baseline," 226,464 ",0,0,0," 226,464 ",n/a,n/a,-,-,-
Gippsland Basin facility,VIC,ESSO AUSTRALIA RESOURCES PTY LTD,62 091 829 819," 2,740,315 ",Production-adjusted baseline," 1,738,130 ",0,0,0," 1,738,130 ",n/a,n/a,-,-,-
Goldfields Gas Transmission Pipeline,WA,GOLDFIELDS GAS TRANSMISSION PTY LTD,87 004 273 241," 147,908 ",Calculated baseline," 128,908 ",0,0,0," 128,908 ",n/a,n/a,-,-,-
Goonyella Broadmeadow Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752," 1,736,739 ",Production-adjusted baseline," 1,311,407 ",0,0,0," 1,311,407 ",n/a,n/a,-,-,-
Gorgon Operations,WA,CHEVRON AUSTRALIA PTY LTD,29 086 197 757," 8,336,476 ",Production-adjusted baseline," 8,191,308 ",0,0,0," 8,191,308 ",n/a,n/a,-,-,-
Gove Operations,NT,RTA GOVE PTY LIMITED,76 000 453 663," 129,432 ",Production-adjusted baseline," 124,600 ","139,384","40,000","94,552"," 129,432 ",n/a,n/a,-,-,-
Granny Smith Mine Site,WA,GSM MINING COMPANY PTY LTD,42 165 235 030," 126,385 ",Calculated baseline," 126,441 ","2,030","2,030",56," 126,385 ",n/a,n/a,-,-,-
Grosvenor Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14 069 603 587," 3,307,753 ",Calculated baseline," 972,605 ",0,0,0," 972,605 ",n/a,n/a,-,-,-
Gruyere Mine Site,WA,GRUYERE MINING COMPANY PTY LTD,11 615 729 005," 239,447 ",Production-adjusted baseline," 193,095 ",0,0,0," 193,095 ",n/a,n/a,-,-,-
Gudai-Darri Mine,WA,MOUNT BRUCE MINING PTY LTD,78 008 714 010," 187,880 ",Production-adjusted baseline," 121,340 ",0,0,0," 121,340 ",n/a,n/a,-,-,-
Hail Creek Mine,QLD,HAIL CREEK COAL PTY LTD,59 080 002 008," 587,896 ",Calculated baseline," 532,466 ",0,0,0," 532,466 ",n/a,n/a,-,-,-
Hope Downs 1 Mine,WA,HAMERSLEY HMS PTY LTD,51 115 004 129," 159,568 ",Production-adjusted baseline," 166,780 ",0,0,"7,212"," 159,568 ",n/a,n/a,-,-,-
Hope Downs 4 Mine,WA,HAMERSLEY HMS PTY LTD,51 115 004 129," 103,010 ",Production-adjusted baseline," 118,259 ",0,0,"15,249"," 103,010 ",n/a,n/a,-,-,-
Hunter Valley Operations mine,NSW,HV OPERATIONS PTY LTD,76 606 478 399," 633,681 ",Calculated baseline," 456,690 ",0,0,0," 456,690 ",n/a,n/a,-,-,-
HVY01 Hunter Valley Energy Coal - CCL Facility,NSW,HUNTER VALLEY ENERGY COAL PTY LTD,39 062 894 464, n/a ,Multi-year monitoring period," 528,632 ",0,0,"30,376",n/a," 1,548,180 "," 1,548,180 ",-,-,-
InfraBuild Steel Laverton Steel Mill,VIC,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,89 069 426 955," 125,904 ",Production-adjusted baseline," 117,023 ",0,0,0," 117,023 ",n/a,n/a,-,-,-
Integra Underground Mine,NSW,HV COKING COAL PTY LIMITED,45 605 492 804," 721,813 ",Calculated baseline," 265,194 ",0,0,0," 265,194 ",n/a,n/a,-,-,-
Isaac Plains Coal Mine,QLD,STANMORE IP COAL PTY LTD,79 606 244 615," 156,336 ",Production-adjusted baseline," 150,144 ",0,0,0," 150,144 ",n/a,n/a,-,-,-
Jax Mine,QLD,JAX COAL PTY LTD,89 133 499 500," 100,000 ",Production-adjusted baseline," 107,047 ",0,0,"7,047"," 100,000 ",n/a,n/a,-,-,-
Jellinbah Mine,QLD,JELLINBAH MINING PTY LTD,63 052 251 000," 256,527 ",Calculated baseline," 258,143 ",0,0,"1,616"," 256,527 ",n/a,n/a,-,-,-
JGN,NSW,JEMENA GAS NETWORKS (NSW) LTD,87 003 004 322," 483,824 ",Production-adjusted baseline," 292,825 ",0,0,0," 292,825 ",n/a,n/a,-,-,-
Jimblebar Mine,WA,BHP IRON ORE PTY LTD,46 008 700 981, n/a ,Multi-year monitoring period," 306,282 ",0,0,0,n/a," 612,255 "," 649,023 ",-,-,-
Jundee Gold Mine,WA,NORTHERN STAR RESOURCES LIMITED,43 092 832 892," 154,701 ",Production-adjusted baseline," 148,140 ",0,0,0," 148,140 ",n/a,n/a,-,-,-
Kemerton Silicon Smelter,WA,SIMCOA OPERATIONS PTY. LTD.,42 009 064 653," 100,000 ",Production-adjusted baseline," 122,178 ",0,0,"22,178"," 100,000 ",n/a,n/a,-,-,-
Kestrel Coal Pty Ltd,QLD,KESTREL COAL GROUP PTY LTD,70 624 655 518," 1,465,574 ",Production-adjusted baseline," 1,558,246 ",0,0,0," 1,558,246 ",n/a,n/a,-,-,-
King of the Hills,WA,GREENSTONE RESOURCES (WA) PTY LTD,58 100 341 599," 100,000 ",Default," 123,070 ",0,0,"23,070"," 100,000 ",n/a,n/a,-,-,-
Kooragang Island,NSW,ORICA AUSTRALIA PTY LTD,99 004 117 828," 1,140,746 ",Production-adjusted baseline," 948,229 ",0,0,0," 948,229 ",n/a,n/a,-,-,-
Kwinana Alumina Refinery,WA,ALCOA OF AUSTRALIA LIMITED,93 004 879 298," 1,134,344 ",Production-adjusted baseline," 1,100,095 ",0,0,0," 1,100,095 ",n/a,n/a,-,-,-
Kwinana Pigment Plant,WA,TRONOX MANAGEMENT PTY LTD,59 009 343 364," 266,667 ",Production-adjusted baseline," 275,411 ",0,0,"8,744"," 266,667 ",n/a,n/a,-,-,-
Lake Vermont Mine,QLD,THIESS PTY LTD,87 010 221 486," 394,117 ",Calculated baseline," 312,954 ",0,0,0," 312,954 ",n/a,n/a,-,-,-
Leinster Power Station,WA,TEC DESERT PTY LTD,47 084 695 661," 154,495 ",Calculated baseline," 135,634 ",0,0,0," 135,634 ",n/a,n/a,-,-,-
Liberty Bell Bay,TAS,LIBERTY BELL BAY PTY LTD,23 004 456 035," 393,363 ",Production-adjusted baseline," 334,929 ",0,0,0," 334,929 ",n/a,n/a,-,-,-
Liberty Primary Steel Whyalla Steelworks,SA,ONESTEEL MANUFACTURING PTY LIMITED,42 004 651 325," 2,041,611 ",Production-adjusted baseline," 1,946,607 ",0,0,0," 1,946,607 ",n/a,n/a,-,-,-
Liddell Coal Mine,NSW,LIDDELL COAL OPERATIONS PTY. LIMITED,40 058 857 882," 176,827 ",Calculated baseline," 166,197 ",0,0,0," 166,197 ",n/a,n/a,-,-,-
Mandalong Mine,NSW,CENTENNIAL MANDALONG PTY LIMITED,74 101 508 892," 1,443,304 ",Calculated baseline," 1,009,855 ",0,0,0," 1,009,855 ",n/a,n/a,-,-,-
Mangoola,NSW,MANGOOLA COAL OPERATIONS PTY LIMITED,54 127 535 755," 122,507 ",Calculated baseline," 117,312 ",0,0,0," 117,312 ",n/a,n/a,-,-,-
Marandoo Mine,WA,HAMERSLEY IRON PTY. LIMITED,49 004 558 276," 214,614 ",Calculated baseline," 155,933 ",0,0,0," 155,933 ",n/a,n/a,-,-,-
Maules Creek Open Cut Mine,NSW,MAULES CREEK COAL PTY LTD,70 140 533 875," 367,513 ",Calculated baseline," 258,093 ",0,0,0," 258,093 ",n/a,n/a,-,-,-
McArthur River Mine Operations,NT,MCARTHUR RIVER MINING PTY. LTD.,90 008 167 815, n/a ,Multi-year monitoring period," 111,754 ",0,0,0,n/a,n/a,n/a,-,-,-
McArthur River Power Station,NT,EDL NGD (NT) PTY LTD,28 065 496 577," 149,669 ",Production-adjusted baseline," 141,369 ",0,0,0," 141,369 ",n/a,n/a,-,-,-
Mesa A Mine,WA,ROBE RIVER MINING CO. PTY. LTD.,71 008 694 246, n/a ,Multi-year monitoring period," 64,978 ",0,0,0,n/a," 267,636 "," 300,000 ",-,-,-
Metropolitan Colliery,NSW,METROPOLITAN COLLIERIES PTY. LTD.,91 003 135 635," 718,746 ",Production-adjusted baseline," 686,890 ",0,0,0," 686,890 ",n/a,n/a,-,-,-
Middlemount Coal Mine,QLD,MIDDLEMOUNT COAL PTY LTD,49 122 348 412," 268,480 ",Calculated baseline," 212,326 ",0,0,0," 212,326 ",n/a,n/a,-,-,-
Millicent Mill,SA,KIMBERLY-CLARK AUSTRALIA PTY. LIMITED,65 000 032 333," 121,846 ",Calculated baseline," 105,104 ",0,0,0," 105,104 ",n/a,n/a,-,-,-
Mobil Altona Refinery,VIC,MOBIL REFINING AUSTRALIA PTY. LTD.,48 004 300 163, n/a ,Multi-year monitoring period, 480 ,0,0,0,n/a,n/a,n/a,-,-,-
Moolarben Coal Mine (Open Cut & Underground),NSW,MOOLARBEN COAL OPERATIONS PTY LTD,59 077 939 569," 361,814 ",Calculated baseline," 215,489 ",0,0,0," 215,489 ",n/a,n/a,-,-,-
Moomba Plant,SA,SANTOS LIMITED,80 007 550 923," 2,174,932 ",Production-adjusted baseline," 2,138,918 ",0,0,0," 2,138,918 ",n/a,n/a,-,-,-
Moorvale Coal Mine,QLD,PEABODY ENERGY AUSTRALIA PCI (C&M MANAGEMENT) PTY LTD,65 077 890 932," 239,233 ",Calculated baseline," 173,170 ",0,0,0," 173,170 ",n/a,n/a,-,-,-
Moranbah,QLD,INCITEC PIVOT LIMITED,42 004 080 264," 597,660 ",Production-adjusted baseline," 597,521 ","15,621",0,"15,482"," 597,660 ",n/a,n/a,-,-,-
Moranbah North Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14 069 603 587," 4,533,701 ",Calculated baseline," 2,272,445 ",0,0,0," 2,272,445 ",n/a,n/a,-,-,-
Mount Isa Mines Copper and Zinc Operations,QLD,MOUNT ISA MINES LIMITED,87 009 661 447," 610,598 ",Calculated baseline," 349,890 ",0,0,0," 349,890 ",n/a,n/a,-,-,-
Mount Pleasant Operations,NSW,MACH ENERGY AUSTRALIA PTY LTD,34 608 495 441," 838,069 ",Production-adjusted baseline," 816,771 ",0,0,0," 816,771 ",n/a,n/a,-,-,-
Mt Keith Power Station,WA,TEC DESERT PTY LTD,47 084 695 661, n/a ,Multi-year monitoring period," 165,136 ",0,0,0,n/a,n/a,n/a,-,-,-
Mt Marion Lithium Project,WA,REED INDUSTRIAL MINERALS PTY LTD,67 138 805 722," 100,000 ",Default," 102,697 ",0,0,"2,697"," 100,000 ",n/a,n/a,-,-,-
Mt Owen Glendell Complex,NSW,MT OWEN PTY LIMITED,83 003 827 361," 286,172 ",Calculated baseline," 263,395 ",0,0,0," 263,395 ",n/a,n/a,-,-,-
Multinet Principal Distribution Network and South Gippsland Pipeline,VIC,MULTINET GAS (DB NO. 2) PTY LTD,57 086 230 122," 314,458 ",Production-adjusted baseline," 182,383 ",0,0,0," 182,383 ",n/a,n/a,-,-,-
Murrin Murrin Operations,WA,MURRIN MURRIN OPERATIONS PTY LTD,43 076 717 505," 617,082 ",Calculated baseline," 497,697 ",0,0,0," 497,697 ",n/a,n/a,-,-,-
Myuna Colliery,NSW,CENTENNIAL MYUNA PTY LIMITED,95 101 508 981," 274,670 ",Production-adjusted baseline," 253,461 ",0,0,0," 253,461 ",n/a,n/a,-,-,-
Narrabri Underground Mine,NSW,NARRABRI COAL OPERATIONS PTY LTD,15 129 850 139," 1,116,113 ",Calculated baseline," 786,802 ",0,0,0," 786,802 ",n/a,n/a,-,-,-
Newlands Coal Complex including Newlands Northern UG,QLD,NC COAL COMPANY PTY LIMITED,71 079 862 936," 454,339 ",Calculated baseline," 197,100 ",0,0,0," 197,100 ",n/a,n/a,-,-,-
Newman Operations,WA,BHP IRON ORE PTY LTD,46 008 700 981," 379,460 ",Calculated baseline," 294,760 ",0,0,0," 294,760 ",n/a,n/a,-,-,-
Newman Power Station,WA,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,81 159 279 857," 419,029 ",Production-adjusted baseline," 379,196 ",0,0,0," 379,196 ",n/a,n/a,-,-,-
Newmont Boddington Gold Operation,WA,NEWMONT BODDINGTON PTY LTD,32 062 936 547," 319,576 ",Production-adjusted baseline," 218,213 ",0,0,0," 218,213 ",n/a,n/a,-,-,-
Newmont Tanami Operation,NT,NEWMONT TANAMI PTY LTD,39 007 688 093," 180,739 ",Production-adjusted baseline," 194,013 ",0,0,"13,274"," 180,739 ",n/a,n/a,-,-,-
Ningaloo Vision FPSO,WA,SANTOS LIMITED,80 007 550 923," 546,091 ",Calculated baseline," 329,922 ",0,0,0," 329,922 ",n/a,n/a,-,-,-
NKS01 Nickel West Kalgoorlie Facility,WA,BHP NICKEL WEST PTY LTD,76 004 184 598," 146,285 ",Production-adjusted baseline," 146,936 ",0,0,651," 146,285 ",n/a,n/a,-,-,-
NKW01 Nickel West Kwinana Facility,WA,BHP NICKEL WEST PTY LTD,76 004 184 598, n/a ,Multi-year monitoring period," 166,425 ",0,0,0,n/a,n/a,n/a,-,-,-
NMK01 Nickel West Mt Keith Facility,WA,BHP NICKEL WEST PTY LTD,76 004 184 598," 209,693 ",Calculated baseline," 191,852 ",0,0,0," 191,852 ",n/a,n/a,-,-,-
