Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Norske Skog Boyer Mill,Boyer Paper Mill Limited,TAS,"Pulp, paper and paperboard manufacturing (151)",0.980,"155,581","175,088",0,"22,530","22,530","19,507",0,"155,581",0,0,0,-,-,"174,622",81,385,0,-
North West Shelf Project,Woodside Energy Ltd.,WA,Oil and gas extraction (070),0.902,"4,829,212","5,750,304",0,0,0,"681,895","239,200","4,829,209",-3,0,0,-,-,"5,627,322","118,026","4,956",0,-
Nowra Plant,Shoalhaven Starches Pty Ltd,NSW,Grain mill and cereal product manufacturing (116),0.902,"445,991","399,535",0,0,0,0,0,"399,535","-46,456","46,456",0,-,-,"395,958","3,241",336,0,-
Nyrstar Port Pirie Facility,Nyrstar Port Pirie Pty Ltd,SA,Basic non-ferrous metal manufacturing (213),0.980,"426,225","426,225","-5,677",0,0,0,0,"426,225",0,0,0,-,-,"425,233",233,751,8,-
Oaky Creek Coal Complex,OAKY CREEK HOLDINGS PTY LIMITED,QLD,Coal mining (060),0.902,"618,093","838,833",0,0,0,"169,975","50,765","618,093",0,0,0,-,-,"235,767","602,179",878,9,-
ODS01 Olympic Dam – UOD Facility,BHP OLYMPIC DAM CORPORATION PTY LTD,SA,Metal ore mining (080),0.902,"228,123","229,988",0,0,0,0,"1,865","228,123",0,0,0,-,-,"228,973",320,578,117,-
Olive Downs Complex,PEMBROKE RESOURCES NOMINEE PTY LTD,QLD,Coal mining (060),0.902,"100,000","392,766",0,0,0,"292,766",0,"100,000",0,0,0,-,-,"199,743","192,444",579,0,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Onslow Haul Road,ONSLOW INFRACO PTY LTD,WA,Road freight transport (461),0.902,"100,000","126,242",0,0,0,"26,242",0,"100,000",0,0,0,-,-,"125,428",61,753,0,-
Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,"Pulp, paper and paperboard manufacturing (151)",0.980,"219,114","173,712",0,0,0,0,0,"173,712","-45,402","45,402",0,-,-,"170,050","1,773","1,887",2,-
Orora Glass Plant Gawler,Orora Limited,SA,Glass and glass product manufacturing (201),0.902,"153,086","134,492",0,0,0,0,0,"134,492","-18,594","18,594",0,-,-,"134,213",212,66,1,-
Otway,BEACH ENERGY LIMITED,VIC,Oil and gas extraction (070),0.902,"228,318","226,056",0,0,0,0,0,"226,056","-2,262","2,262",0,-,-,"218,472","7,447",137,0,-
