Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
Mt Owen Glendell Complex,NSW,MT OWEN PTY LIMITED,83003827361,"286,172",Calculated baseline,"264,736",0,0,0,"264,736",n/a,n/a, - , - ,-,
Multinet Principal Distribution Network and South Gippsland Pipeline,VIC,MULTINET GAS (DB NO. 2) PTY LTD,57086230122,"315,124",Production-adjusted baseline,"204,713",0,0,0,"204,713",n/a,n/a, - , - ,-,
Murrin Murrin Operations,WA,MURRIN MURRIN OPERATIONS PTY LTD,43076717505,"617,082",Calculated baseline,"512,537",0,0,0,"512,537",n/a,n/a, - , - ,-,
Myuna Colliery,NSW,CENTENNIAL MYUNA PTY LIMITED,95101508981,"825,052",Calculated baseline,"320,525",0,0,0,"320,525",n/a,n/a, - , - ,-,
Narrabri Underground Mine,NSW,Narrabri Coal Operations Pty Ltd,15129850139,"1,116,113",Calculated baseline,"519,704",0,0,0,"519,704",n/a,n/a, - , - ,-,
New Illawarra Road Landfill,NSW,Cleanaway Waste Management Limited,74101155220,"129,952",Landfill baseline,"54,091",0,0,0,"54,091",n/a,n/a, - , - ,-,
New Illawarra Road Landfill,NSW,VEOLIA RECYCLING & RECOVERY ANZ PTY LIMITED,18002658255,"176,707",Landfill baseline,"73,574",0,0,0,"73,574",n/a,n/a, - , - ,-,
Newlands Coal Complex including Newlands Northern UG,QLD,NC COAL COMPANY PTY LIMITED,71079862936,"454,339",Calculated baseline,"414,271",0,0,0,"414,271",n/a,n/a, - , - ,-,
Newman Operations,WA,BHP IRON ORE PTY LTD,46008700981,n/a,Multi-year monitoring period,"305,076",0,0,0,n/a,"1,006,396","1,102,168", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Newman Power Station,WA,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,81159279857,"604,378",Calculated baseline,"389,496",0,0,0,"389,496",n/a,n/a, - , - ,-,
Newmont Boddington Gold Operation,WA,Newmont Boddington Pty Ltd,32062936547,"330,487",Production-adjusted baseline,"198,355",0,0,0,"198,355",n/a,n/a, - , - ,-,
Newmont Tanami Operation,NT,Newmont Tanami Pty Ltd,39007688093,"215,737",Calculated baseline,"187,794",0,0,0,"187,794",n/a,n/a, - , - ,-,
NGP,NT; QLD,JEMENA NORTHERN GAS PIPELINE PTY LTD,12607928790,"115,783",Production-adjusted baseline,"107,606",0,0,0,"107,606",n/a,n/a, - , - ,-,
Ningaloo Vision FPSO,WA,Santos Limited,80007550923,"546,091",Calculated baseline,"381,472",0,0,0,"381,472",n/a,n/a, - , - ,-,
NKS01 Nickel West Kalgoorlie Facility,WA,BHP NICKEL WEST PTY LTD,76004184598,"158,794",Production-adjusted baseline,"140,234",0,0,0,"140,234",n/a,n/a, - , - ,-,
NKW01 Nickel West Kwinana Facility,WA,BHP NICKEL WEST PTY LTD,76004184598,n/a,Multi-year monitoring period,"161,918",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
NMK01 Nickel West Mt Keith Facility,WA,BHP NICKEL WEST PTY LTD,76004184598,"209,693",Calculated baseline,"129,880",0,0,0,"129,880",n/a,n/a, - , - ,-,
Norske Skog Boyer Mill,TAS,Norske Skog Paper Mills (Australia) Limited,84009477132,"183,056",Calculated baseline,"171,463","19,743","19,743",0,"171,463",n/a,n/a, - , - ,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.,
North Goonyella Coal Mine,QLD,PEABODY (BOWEN) PTY LTD,50010879526,"225,651",Calculated baseline,"171,698",0,0,0,"171,698",n/a,n/a, - , - ,-,
North West Shelf Project,WA,Woodside Energy Ltd.,63005482986,n/a,Multi-year monitoring period,"6,418,032",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Nowra Plant,NSW,Shoalhaven Starches Pty Ltd,94000045045,"477,214",Calculated baseline,"370,956",0,0,0,"370,956",n/a,n/a, - , - ,-,
NSW - Woodlawn Bioreactor,NSW,Veolia Environmental Services (Australia) Pty Ltd,20051316584,"140,540",Landfill baseline,"101,881",0,0,0,"101,881",n/a,n/a, - , - ,-,
Nyrstar Port Pirie Facility,SA,Nyrstar Port Pirie Pty Ltd,31008046428,"547,081",Calculated baseline,"428,561",0,0,0,"428,561",n/a,n/a, - , - ,-,
Oaky Creek Coal Complex,QLD,OAKY CREEK HOLDINGS PTY LIMITED,31128109062,"1,747,736",Production-adjusted baseline,"859,792",0,0,0,"859,792",n/a,n/a, - , - ,-,
ODS01 Olympic Dam – UOD Facility,SA,BHP OLYMPIC DAM CORPORATION PTY LTD,99007835761,"241,243",Production-adjusted baseline,"182,302",0,0,0,"182,302",n/a,n/a, - , - ,-,
Opal Australian Paper Maryvale Mill,VIC,PAPER AUSTRALIA PTY LTD,63061583533,"519,332",Production-adjusted baseline,"324,164",0,0,0,"324,164",n/a,n/a, - , - ,-,
Orora Glass Plant Gawler ,SA,Orora Limited,55004275165,"230,073",Production-adjusted baseline,"206,339",0,0,0,"206,339",n/a,n/a, - , - ,-,
Otway,VIC,BEACH ENERGY (OPERATIONS) LIMITED,66007845338,"200,355",Calculated baseline,"142,025",0,0,0,"142,025",n/a,n/a, - , - ,-,
