facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0228,2020-21,legacy,YPF AMMONIA PLANT,YARA PILBARA FERTILISERS PTY LTD,WA,,1512283.0,1456927.0,1456927.0,,, - 
F0106,2020-21,legacy,Mandalong Mine,CENTENNIAL MANDALONG PTY LIMITED,NSW,,1443304.0,1184162.0,1184162.0,,, - 
F0239,2020-21,legacy,Kestrel Coal Pty Ltd,KESTREL COAL GROUP PTY LTD,QLD,,1342468.0,1178560.0,1178560.0,,, - 
F0099,2020-21,legacy,Kwinana Alumina Refinery,ALCOA OF AUSTRALIA LIMITED,WA,,1323436.0,1292269.0,1292269.0,,, - 
F0098,2020-21,legacy,Kooragang Island,ORICA AUSTRALIA PTY LTD,NSW,,1291767.0,1029334.0,1029334.0,,, - 
F0047,2020-21,legacy,CSBP Kwinana Facility,CSBP LIMITED,WA,,1219470.0,697197.0,697197.0,,, - 
F0172,2020-21,legacy,Railton,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,TAS,,1118359.0,1047925.0,1047925.0,,, - 
F0127,2020-21,legacy,Narrabri Underground Mine,NARRABRI COAL OPERATIONS PTY LTD,NSW,,1116113.0,384304.0,384304.0,,, - 
F0067,2020-21,legacy,Geelong Refinery,VIVA ENERGY REFINING PTY LTD,VIC,,1106986.0,912997.0,912997.0,,, - 
F0036,2020-21,legacy,CEM NSW Berrima,BORAL LIMITED,NSW,,1051888.0,1019669.0,1019669.0,,, - 
F0214,2020-21,legacy,Warkworth Mine,WARKWORTH MINING LTD,NSW,,1018733.0,779189.0,779189.0,,, - 
F0148,2020-21,legacy,Pacific National National Transport Facility,PACIFIC NATIONAL PTY LTD,National,,967777.0,912770.0,912770.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0020,2020-21,legacy,Birkenhead Operations,ADBRI LIMITED,SA,,944222.0,772545.0,772545.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0024,2020-21,legacy,Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,QLD,,918989.0,898887.0,898887.0,,, - 
F0141,2020-21,legacy,Oaky Creek Coal Complex,OAKY CREEK HOLDINGS PTY LIMITED,QLD,,871315.0,778695.0,778695.0,,, - 
F0176,2020-21,legacy,Refinery Qld Lytton,AMPOL LIMITED,QLD,,856595.0,539067.0,539067.0,,, - 
F0032,2020-21,legacy,Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,QLD,,850080.0,708618.0,708618.0,,, - 
F0126,2020-21,legacy,Myuna Colliery,CENTENNIAL MYUNA PTY LIMITED,NSW,,825052.0,402866.0,402866.0,,, - 
F0245,2020-21,legacy,Mobil Altona Refinery,MOBIL REFINING AUSTRALIA PTY. LTD.,VIC,,811594.0,678318.0,678318.0,,, - 
F0280,2020-21,legacy,Kwinana Refinery,BP REFINERY (KWINANA) PROPRIETARY LIMITED,WA,,739256.0,413542.0,413542.0,,, - 
F0021,2020-21,legacy,Blackwater Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,733663.0,688951.0,688951.0,,, - 
F0085,2020-21,legacy,Integra Underground Mine,HV COKING COAL PTY LIMITED,NSW,,721813.0,553209.0,553209.0,,, - 
F0027,2020-21,legacy,Bulga Coal Complex,BULGA COAL MANAGEMENT PTY LIMITED,NSW,,707250.0,516616.0,516616.0,,, - 
F0153,2020-21,legacy,Pilbara Rail Operations,PILBARA IRON PTY LTD,WA,,666720.0,656605.0,656605.0,,, - 
F0112,2020-21,legacy,Metropolitan Colliery,METROPOLITAN COLLIERIES PTY. LTD.,NSW,,663700.0,401341.0,401341.0,,, - 
F0082,2020-21,legacy,Hunter Valley Operations mine,HV OPERATIONS PTY LTD,NSW,,633681.0,563127.0,563127.0,,, - 
F0198,2020-21,legacy,Telfer Gold Mine,NEWCREST MINING LIMITED,WA,,626808.0,500048.0,500048.0,,, - 
F0125,2020-21,legacy,Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,WA,,617082.0,486498.0,486498.0,,, - 
F0120,2020-21,legacy,Mount Isa Mines Copper and Zinc Operations,MOUNT ISA MINES LIMITED,QLD,,610598.0,300397.0,300397.0,,, - 
F0130,2020-21,legacy,Newman Power Station,ALINTA ENERGY TRANSMISSION (ROY HILL) PTY LTD,WA,,604378.0,202430.0,202430.0,,, - 
F0039,2020-21,legacy,Christmas Creek Mine,CHICHESTER METALS PTY LTD,WA,,596884.0,574485.0,574485.0,,, - 
F0079,2020-21,legacy,Hail Creek Mine,HAIL CREEK COAL PTY LTD,QLD,,587896.0,539784.0,539784.0,,, - 
F0151,2020-21,legacy,Peak Downs Mine,BM ALLIANCE COAL OPERATIONS PTY LIMITED,QLD,,586447.0,513581.0,513581.0,,, - 
F0163,2020-21,legacy,PRL03 Rail - IOR Facility,BHP IRON ORE PTY LTD,WA,,585410.0,548215.0,548215.0,,, - 
F0273,2020-21,legacy,Toll National Transport Facility,TOLL HOLDINGS LIMITED,National,,573297.0,444449.0,444449.0,,, - 
F0166,2020-21,legacy,Qenos Botany Manufacturing,QENOS PTY LTD,NSW,,551253.0,461734.0,461734.0,,, - 
F0140,2020-21,legacy,Nyrstar Port Pirie Smelter,NYRSTAR PORT PIRIE PTY LTD,SA,,547081.0,342966.0,342966.0,,, - 
F0090,2020-21,legacy,JGN,JEMENA GAS NETWORKS (NSW) LTD,NSW,,528234.0,401980.0,401980.0,,, - 
F0103,2020-21,legacy,TEM01,TASMANIAN ELECTRO METALLURGICAL COMPANY PROPRIETARY LIMITED,TAS,,505063.0,275453.0,275453.0,,, - 
F0236,2020-21,legacy,Gibson Island,INCITEC PIVOT LIMITED,QLD,,503185.0,444731.0,444731.0,,, - 
F0009,2020-21,legacy,Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,,489864.0,411570.0,411570.0,,, - 
F0139,2020-21,legacy,Nowra Plant,SHOALHAVEN STARCHES PTY LTD,NSW,,477214.0,361874.0,361874.0,,, - 
F0208,2020-21,legacy,Varanus Hub,SANTOS LIMITED,WA,,463700.0,301925.0,301925.0,,, - 
F0029,2020-21,legacy,Byerwen  Mine,BYERWEN COAL PTY LTD,QLD,,456929.0,333362.0,333362.0,,, - 
F0128,2020-21,legacy,Newlands Coal Complex including Newlands Northern UG,NC COAL COMPANY PTY LIMITED,QLD,,454339.0,390714.0,390714.0,,, - 
F0055,2020-21,legacy,DEN01,DENDROBIUM COAL PTY LTD,NSW,,447048.0,234807.0,234807.0,,, - 
F0040,2020-21,legacy,Clermont Coal Operations,CLERMONT COAL OPERATIONS PTY LIMITED,QLD,,437255.0,340056.0,340056.0,,, - 
F0145,2020-21,legacy,Opal Australian Paper Maryvale Mill,PAPER AUSTRALIA PTY LTD,VIC,,406527.0,320852.0,320852.0,,, - 
F0041,2020-21,legacy,Cloudbreak Mine,CHICHESTER METALS PTY LTD,WA,,405681.0,422427.0,405681.0,,, - 
F0225,2020-21,legacy,Yarnima Power Station,BHP IRON ORE PTY LTD,WA,,402910.0,343639.0,343639.0,,, - 
F0026,2020-21,legacy,Brockman 4 Mine,HAMERSLEY IRON PTY. LIMITED,WA,,395901.0,165655.0,165655.0,,, - 
F0165,2020-21,legacy,Qenos Altona Manufacturing,QENOS PTY LTD,VIC,,394357.0,347300.0,347300.0,,, - 
F0101,2020-21,legacy,Lake Vermont Mine,THIESS PTY LTD,QLD,,394117.0,393671.0,393671.0,,, - 
F0223,2020-21,legacy,YAN01 Yandi/Marillana Creek Mine - MNG Facility,BHP IRON ORE PTY LTD,WA,,379160.0,190343.0,190343.0,,, - 
F0038,2020-21,legacy,Chandala Processing Plant,TRONOX MANAGEMENT PTY LTD,WA,,374904.0,206709.0,206709.0,,, - 
F0018,2020-21,legacy,Bell Bay Smelter,RIO TINTO ALUMINIUM (BELL BAY) LIMITED,TAS,,370510.0,355698.0,355698.0,,, - 
F0109,2020-21,legacy,Maules Creek Open Cut Mine,MAULES CREEK COAL PTY LTD,NSW,,367513.0,304625.0,304625.0,,, - 
F0115,2020-21,legacy,Moolarben Coal Mine (Open Cut & Underground),MOOLARBEN COAL OPERATIONS PTY LTD,NSW,,361814.0,164989.0,164989.0,,, - 
